"filename", "language", "YAML", "Markdown", "Dart", "XML", "Swift", "C++", "JSON", "Properties", "Groovy", "comment", "blank", "total"
"d:\Documents\__myWork\06_Igea\igea\IGEA-REPO\README.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"d:\Documents\__myWork\06_Igea\igea\IGEA-REPO\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 57, 3, 15, 75
"d:\Documents\__myWork\06_Igea\igea\IGEA-REPO\android\app\google-services.json", "JSON", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 40
"d:\Documents\__myWork\06_Igea\igea\IGEA-REPO\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 1, 8
"d:\Documents\__myWork\06_Igea\igea\IGEA-REPO\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 55, 0, 0, 0, 0, 0, 10, 1, 66
"d:\Documents\__myWork\06_Igea\igea\IGEA-REPO\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 8, 3, 20
"d:\Documents\__myWork\06_Igea\igea\IGEA-REPO\android\app\src\main\res\values\color.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"d:\Documents\__myWork\06_Igea\igea\IGEA-REPO\android\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 5, 2, 13
"d:\Documents\__myWork\06_Igea\igea\IGEA-REPO\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 3, 15
"d:\Documents\__myWork\06_Igea\igea\IGEA-REPO\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 1, 8
"d:\Documents\__myWork\06_Igea\igea\IGEA-REPO\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 5, 34
"d:\Documents\__myWork\06_Igea\igea\IGEA-REPO\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"d:\Documents\__myWork\06_Igea\igea\IGEA-REPO\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 1, 7
"d:\Documents\__myWork\06_Igea\igea\IGEA-REPO\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 4, 16
"d:\Documents\__myWork\06_Igea\igea\IGEA-REPO\android\settings_aar.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"d:\Documents\__myWork\06_Igea\igea\IGEA-REPO\assets\icons\numbers\1.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Documents\__myWork\06_Igea\igea\IGEA-REPO\assets\icons\numbers\2.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Documents\__myWork\06_Igea\igea\IGEA-REPO\assets\icons\numbers\3.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Documents\__myWork\06_Igea\igea\IGEA-REPO\assets\icons\numbers\4.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Documents\__myWork\06_Igea\igea\IGEA-REPO\assets\icons\numbers\5.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Documents\__myWork\06_Igea\igea\IGEA-REPO\assets\exernal\Amazon_logo.svg", "XML", 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 1, 92
"d:\Documents\__myWork\06_Igea\igea\IGEA-REPO\assets\icons\CheckedBox.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Documents\__myWork\06_Igea\igea\IGEA-REPO\assets\icons\Long_right.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Documents\__myWork\06_Igea\igea\IGEA-REPO\assets\avatars\Mamma.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Documents\__myWork\06_Igea\igea\IGEA-REPO\assets\avatars\Nonna.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Documents\__myWork\06_Igea\igea\IGEA-REPO\assets\avatars\Nonno.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Documents\__myWork\06_Igea\igea\IGEA-REPO\assets\avatars\Papa.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Documents\__myWork\06_Igea\igea\IGEA-REPO\assets\icons\add.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Documents\__myWork\06_Igea\igea\IGEA-REPO\assets\icons\add_esito.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Documents\__myWork\06_Igea\igea\IGEA-REPO\assets\icons\anagrafica.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Documents\__myWork\06_Igea\igea\IGEA-REPO\assets\icons\archive.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Documents\__myWork\06_Igea\igea\IGEA-REPO\assets\avatars\arold-extended.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Documents\__myWork\06_Igea\igea\IGEA-REPO\assets\avatars\arold_1.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Documents\__myWork\06_Igea\igea\IGEA-REPO\assets\avatars\arold_circle.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
